42	43	74	85	17 	17	 42	 43	 39	 39	 39	 39	 39	 42	 43	 39	 39	 42	 43	 39	 39	 3	 4	 74	 85	 17	 17	 17	 3	 4	 88	 89
3	4	17	74	85 	17	 3	 4	 39	 39	 39	 39	 39	 3	 4	 39	 39	 3	 4	 39	 39	 3	 4	 17	 74	 85	 17	 17	 3	 4	 88	 89
3	4	17	17	74 	85	 18	 19	 39	 39	 39	 39	 39	 18	 19	 39	 39	 18	 19	 39	 39	 18	 19	 17	 17	 74	 85	 17	 3	 4	 88	 89
3	4	17	17	17 	74	 20	 20	 39	 39	 39	 39	 39	 3	 4	 39	 39	 3	 4	 39	 39	 3	 4	 17	 17	 17	 74	 85	 3	 4	 88	 89
18	19	17	17	17 	17	 42	 43	 39	 39	 39	 39	 39	 18	 4	 39	 39	 18	 4	 39	 39	 18	 4	 17	 17	 17	 17	 74	 3	 4	 88	 89
20	20	20	20	20 	20	 20	 20	 20	 20	 20	 20	 20	 20	 20	 39	 39	 20	 20	 39	 39	 20	 20	 20	 20	 20	 20	 20	 3	 4	 88	 89
42	43	39	39	39	39	 42	 43	 39	 39	 39	 39	 39	 3	 4	 39	 39	 3	 4	 39	 39	 3	 4	 39	 39	 39	 39	 39	 3	 4	 88	 89
3	4	39	39	39 	39	 3	 4	 39	 39	 39	 39	 39	 3	 4	 39	 39	 3	 4	 39	 39	 3	 4	 39	 39	 39	 39	 39	 3	 4	 88	 89
18	19	39	39	39	39	 18	 19	 39	 39	 39	 39	 39	 18	 19	 39	 39	 18	 19	 39	 39	 18	 19	 39	 39	 39	 39	 39	 3	 4	 88	 89
102	102	102	102	102 	102	 102	 102	 102	102	102	102	102 	102	 102	 102	 102	102	102	102	102 	102	 102	 102	 102	102	102	102	20 	20	 102	 102
102	102	102	102	102 	102	 102	 102	 102	102	102	102	102 	102	 102	 102	 102	102	102	102	102 	102	 102	 102	 102	102	102	102	 102 	 102	 102	 102
