1	2	3	4	5	6	12	13	1	2	3	4	5	6	12	13	1	2	3	4	7	8	12	13	1	2	3	4	5	6	27	28	67	67	67	67	67	67	67	67	3	4	5	6	11	11	3	4	67	67	67	67	67	67	67	67	67	3	4	27	28	3	4	27	28	3	4	27	28	3	4	27	28	3	4	27	28	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67
12	2	3	4	29	30	34	34	33	2	3	4	29	30	34	34	33	2	3	4	36	36	34	34	33	2	3	4	29	30	11	11	67	67	67	67	67	67	67	67	3	4	36	33	11	11	3	4	67	67	67	67	67	67	67	67	67	3	4	11	11	3	4	11	11	3	4	11	11	3	4	11	11	3	4	11	11	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67
1	2	3	4	29	33	31	32	1	2	3	4	29	33	31	32	1	2	3	4	7	51	31	32	1	2	3	4	29	33	11	11	67	67	67	67	67	67	67	67	3	4	51	33	11	11	3	4	67	67	67	67	67	67	67	67	67	3	4	11	11	3	4	11	11	3	4	11	11	3	4	11	11	3	4	11	11	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67
1	2	3	4	29	33	27	28	67	2	3	4	29	33	27	28	67	2	3	4	29	30	27	28	67	2 	3	4	29	33	11	11	67	67	67	67	67	67 	58	59	60	61	67	67	64	64	64	64	65	66	67	67	67	67	67	67	67	3	4	11	11	3	4	11	11	3	4	11	11	3	4	11	11	3	4	11	11	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67
1	2	3	4	29	33	11	11	67	2	3	4	29	33	11	11	67	2	3	4	29	33	11	11	67	2	3	4	29	33	11	11	67	67	67	67	67	58	73	20	20	20	20	20	20	20	20	20	20	74	66	67	67	67	67	67	67	3	4	11	11	3	4	11	11	3	4	11	11	3	4	11	11	3	4	11	11	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67
1	2	3	4	36	33	11	11	67	2	3	4	29	33	11 	11 	67 	2 	3 	4 	29	33	11	11	67	2	3	4	29	33	11 	11 	67	67 	58 	59 	78 	73 	67 	67 	3 	4 	67 	67 	67 	67 	3 	4	67	67	74	83	67	67	67	64	64	3	4	11	11	3	4	11	11	3	4	11	11	3	4	11	11	3	4	11	11	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67
1	2	3	4	51	33	11	11	67	2	3	4	36	33	11 	11 	67 	2 	3 	4 	29	33	11	11	67	2	3	4	36	33	11	11 	67	58 	73	20 	20 	20 	67 	67 	3 	4 	67 	67 	67 	67 	3 	4	67	67	20	20	20	20	20	20	20	3	4	11	11	3	4	11	11	3	4	11	11	3	4	11	11	3	4	11	11	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67
1	2	3	4	63	63	11	11	31	2	3	4	51	63	11 	11 	31	2 	3 	4 	36	63	11	11	31	2 	3	4	51	33	63	63 	58 	73 	67 	67 	27	28 	67 	67 	3 	4 	67 	67 	67 	67 	3 	4	67	67	67	3	4	67	67	67	67	3	4	11	11	3	4	11	11	3	4	11	11	3	4	11	11	3	4	11	11	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67
1	2	3	4	63	63	11	11	9	10	3	4	2	63	11 	11 	9	10 	3 	4 	51	63	11	11	9	10	3	4	2	63	63	58 	73 	67 	67	67	67 	67 	67	67	3 	4 	67 	67 	67 	67 	3 	4	67	67	67	3	4	67	27	28	67	3	4	11	11	3	4	11	11	3	4	11	11	3	4	11	11	3	4	11	11	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67
62	2	60	61	62	63	62	63	62	2	60	61	62	63	62	63 	62 	2 	60 	61 	62 	63	62	63	62	2	60	61	62	63 	78	73 	62 	67 	62 	63 	62 	63 	62 	63 	60 	61 	62 	63 	62 	63 	60 	61	67	67	67	60	61	62	67	62	67	60	61	62	67	60	61	62	67	60	61	62	67	60	61	62	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67	67
20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20	20 	20 	20 	20 	20 	20 	20 	20 	20	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20	20 	20 	20 	20 	20 	20 	20 	20 	20	20	20
